1,Toy Story ,10/30/95,81,30000000,361958736
2,Jumanji ,12/15/95,104,65000000,262797249
3,Grumpier Old Men ,12/22/95,101,0,0
4,Waiting to Exhale ,12/22/95,127,16000000,81452156
5,Father of the Bride Part II ,12/8/95,106,0,76578911
6,Heat ,12/15/95,171,60000000,187436818
7,Sabrina ,12/15/95,127,58000000,0
8,Tom and Huck ,12/22/95,97,0,0
9,Sudden Death ,12/22/95,106,35000000,64350171
10,GoldenEye ,11/16/95,130,58000000,352194034
11,American President,11/17/95,106,62000000,107879496
12,Dracula: Dead and Loving It ,12/22/95,88,0,0
13,Balto ,12/22/95,78,0,0
14,Nixon ,12/22/95,192,44000000,13681765
15,Cutthroat Island ,12/22/95,119,98000000,18517322
16,Casino ,11/22/95,178,52000000,116112375
17,Sense and Sensibility ,12/13/95,136,16500000,135000000
18,Four Rooms ,12/25/95,98,4000000,4300000
19,Ace Ventura: When Nature Calls ,11/10/95,90,30000000,212385533
20,Money Train ,11/21/95,103,60000000,35431113
21,Get Shorty ,10/20/95,105,30250000,115101622
22,Copycat ,10/27/95,124,0,0
23,Assassins ,10/6/95,132,50000000,30303072
24,Powder ,10/27/95,111,0,0
25,Leaving Las Vegas ,10/27/95,112,3600000,49800000
26,Othello ,12/15/95,123,0,0
27,Now and Then ,10/20/95,100,12000000,27400000
28,Persuasion ,9/27/95,104,0,0
29,City of Lost Children,5/16/95,108,18000000,1738611
30,Shanghai Triad ,4/30/95,108,0,0
31,Dangerous Minds ,8/11/95,99,0,180000000
32,Twelve Monkeys ,12/29/95,129,29500000,168840000
33,Wings of Courage ,9/18/96,0,0,0
34,Babe ,7/18/95,89,30000000,254134910
35,Carrington ,11/8/95,121,0,0
36,Dead Man Walking ,12/29/95,122,11000000,39363635
37,Across the Sea of Time ,10/20/95,51,0,0
38,It Takes Two ,11/17/95,101,0,0
39,Clueless ,7/19/95,97,12000000,0
40,Cry,12/15/95,106,0,676525
41,Richard III ,12/29/95,104,0,0
42,Dead Presidents ,10/6/95,119,10000000,0
43,Restoration ,12/29/95,117,19000000,0
44,Mortal Kombat ,8/18/95,101,18000000,122195920
45,To Die For ,5/20/95,106,20000000,21284514
46,How to Make an American Quilt ,10/6/95,116,10000000,23574130
47,Seven ,9/22/95,127,33000000,327311859
48,Pocahontas ,6/14/95,81,55000000,346079773
49,When Night Is Falling ,5/5/95,96,0,0
50,Usual Suspects,7/19/95,106,6000000,23341568
51,Guardian Angel ,11/22/94,93,0,0
52,Mighty Aphrodite ,9/13/95,95,15000000,6700000
53,Lamerica ,1/1/94,116,0,0
54,Big Green,9/29/95,100,0,0
55,Georgia ,5/19/95,115,0,0
56,Kids of the Round Table ,7/8/97,89,0,0
57,Home for the Holidays ,11/2/95,103,0,17519169
58,Postino,9/22/94,108,0,0
59,Confessional,9/29/95,100,0,0
60,Indian in the Cupboard,7/14/95,96,45000000,0
61,Eye for an Eye ,1/12/96,101,20000000,0
62,Mr. Holland's Opus ,12/29/95,137,0,106269971
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood ,1/12/96,89,0,0
64,Two if by Sea ,1/12/96,96,0,0
65,Bio-Dome ,1/12/96,88,15000000,0
66,Lawnmower Man 2: Beyond Cyberspace ,1/12/96,92,0,2409225
67,Two Bits ,10/22/95,85,0,0
68,French Twist ,2/8/95,95,0,0
69,Friday ,4/26/95,91,3500000,28215918
70,From Dusk Till Dawn ,1/19/96,108,19000000,25836616
