,MovieId,Movie Title,Genre,year,runtime,revenue,budget
0,1,Toy Story ,"Animation,Children's,Comedy",1995-10-30,81,361958736,30000000
1,2,Jumanji ,"Adventure,Children's,Fantasy",1995-12-15,104,262797249,65000000
2,3,Grumpier Old Men ,"Comedy,Romance",1995-12-22,101,0,0
3,4,Waiting to Exhale ,"Comedy,Drama",1995-12-22,127,81452156,16000000
4,5,Father of the Bride Part II ,Comedy,1995-12-08,106,76578911,0
5,6,Heat ,"Action,Crime,Thriller",1995-12-15,171,187436818,60000000
6,7,Sabrina ,"Comedy,Romance",1995-12-15,127,0,58000000
7,8,Tom and Huck ,"Adventure,Children's",1995-12-22,97,0,0
8,9,Sudden Death ,Action,1995-12-22,106,64350171,35000000
9,10,GoldenEye ,"Action,Adventure,Thriller",1995-11-16,130,352194034,58000000
10,11,American President,,1995-11-17,106,107879496,62000000
11,12,Dracula: Dead and Loving It ,"Comedy,Horror",1995-12-22,88,0,0
12,13,Balto ,"Animation,Children's",1995-12-22,78,0,0
13,14,Nixon ,Drama,1995-12-22,192,13681765,44000000
14,15,Cutthroat Island ,"Action,Adventure,Romance",1995-12-22,119,18517322,98000000
15,16,Casino ,"Drama,Thriller",1995-11-22,178,116112375,52000000
16,17,Sense and Sensibility ,"Drama,Romance",1995-12-13,136,135000000,16500000
17,18,Four Rooms ,Thriller,1995-12-25,98,4300000,4000000
18,19,Ace Ventura: When Nature Calls ,Comedy,1995-11-10,90,212385533,30000000
19,20,Money Train ,Action,1995-11-21,103,35431113,60000000
20,21,Get Shorty ,"Action,Comedy,Drama",1995-10-20,105,115101622,30250000
21,22,Copycat ,"Crime,Drama,Thriller",1995-10-27,124,0,0
22,23,Assassins ,Thriller,1995-10-06,132,30303072,50000000
23,24,Powder ,"Drama,Sci-Fi",1995-10-27,111,0,0
24,25,Leaving Las Vegas ,"Drama,Romance",1995-10-27,112,49800000,3600000
25,26,Othello ,Drama,1995-12-15,123,0,0
26,27,Now and Then ,Drama,1995-10-20,100,27400000,12000000
27,28,Persuasion ,Romance,1995-09-27,104,0,0
28,29,City of Lost Children,,1995-05-16,108,1738611,18000000
29,30,Shanghai Triad ,Drama,1995-04-30,108,0,0
30,31,Dangerous Minds ,Drama,1995-08-11,99,180000000,0
31,32,Twelve Monkeys ,"Drama,Sci-Fi",1995-12-29,129,168840000,29500000
32,33,Wings of Courage ,"Adventure,Romance",1996-09-18,0,0,0
33,34,Babe ,"Children's,Comedy,Drama",1995-07-18,89,254134910,30000000
34,35,Carrington ,"Drama,Romance",1995-11-08,121,0,0
35,36,Dead Man Walking ,Drama,1995-12-29,122,39363635,11000000
36,37,Across the Sea of Time ,Documentary,1995-10-20,51,0,0
37,38,It Takes Two ,Comedy,1995-11-17,101,0,0
38,39,Clueless ,"Comedy,Romance",1995-07-19,97,0,12000000
39,40,Cry,,1995-12-15,106,676525,0
40,41,Richard III ,"Drama,War",1995-12-29,104,0,0
41,42,Dead Presidents ,"Action,Crime,Drama",1995-10-06,119,0,10000000
42,43,Restoration ,Drama,1995-12-29,117,0,19000000
43,44,Mortal Kombat ,"Action,Adventure",1995-08-18,101,122195920,18000000
44,45,To Die For ,"Comedy,Drama",1995-05-20,106,21284514,20000000
45,46,How to Make an American Quilt ,"Drama,Romance",1995-10-06,116,23574130,10000000
46,47,Seven ,"Crime,Thriller",1995-09-22,127,327311859,33000000
47,48,Pocahontas ,"Animation,Children's,Musical,Romance",1995-06-14,81,346079773,55000000
48,49,When Night Is Falling ,"Drama,Romance",1995-05-05,96,0,0
49,50,Usual Suspects,,1995-07-19,106,23341568,6000000
50,51,Guardian Angel ,"Action,Drama,Thriller",1994-11-22,93,0,0
51,52,Mighty Aphrodite ,Comedy,1995-09-13,95,6700000,15000000
52,53,Lamerica ,Drama,1994-01-01,116,0,0
53,54,Big Green,,1995-09-29,100,0,0
54,55,Georgia ,Drama,1995-05-19,115,0,0
55,56,Kids of the Round Table ,"Adventure,Children's,Fantasy",1997-07-08,89,0,0
56,57,Home for the Holidays ,Drama,1995-11-02,103,17519169,0
57,58,Postino,,1994-09-22,108,0,0
58,59,Confessional,,1995-09-29,100,0,0
59,60,Indian in the Cupboard,,1995-07-14,96,0,45000000
60,61,Eye for an Eye ,"Drama,Thriller",1996-01-12,101,0,20000000
61,62,Mr. Holland's Opus ,Drama,1995-12-29,137,106269971,0
62,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood ,Comedy,1996-01-12,89,0,0
63,64,Two if by Sea ,"Comedy,Romance",1996-01-12,96,0,0
64,65,Bio-Dome ,Comedy,1996-01-12,88,0,15000000
65,66,Lawnmower Man 2: Beyond Cyberspace ,"Sci-Fi,Thriller",1996-01-12,92,2409225,0
66,67,Two Bits ,Drama,1995-10-22,85,0,0
67,68,French Twist ,"Comedy,Romance",1995-02-08,95,0,0
68,69,Friday ,Comedy,1995-04-26,91,28215918,3500000
69,70,From Dusk Till Dawn ,"Action,Comedy,Crime,Horror,Thriller",1996-01-19,108,25836616,19000000
70,71,Fair Game ,Action,1995-11-03,91,11534477,50000000
71,72,Kicking and Screaming ,"Comedy,Drama",1995-10-06,96,718490,0
72,73,Mis_rables,,1995-03-22,175,0,0
73,74,Bed of Roses ,"Drama,Romance",1996-01-26,87,19030691,0
74,75,Big Bully ,"Comedy,Drama",1996-01-26,90,2042530,15000000
75,76,Screamers ,"Sci-Fi,Thriller",1995-09-08,108,5781885,20000000
76,77,Nico Icon ,Documentary,1995-02-18,70,0,0
77,78,Crossing Guard,,1995-11-15,111,0,0
78,79,Juror,,1996-02-02,118,0,44000000
79,80,White Balloon,,1995-01-01,85,0,0
80,81,Things to Do in Denver when You're Dead ,"Crime,Drama,Romance",1995-12-01,116,529766,8000000
81,82,Antonia's Line ,Drama,1995-09-12,102,0,900000
82,83,Once Upon a Time... When We Were Colored ,Drama,1996-01-26,115,0,0
83,84,Last Summer in the Hamptons ,"Comedy,Drama",1995-11-22,108,0,0
84,85,Angels and Insects ,"Drama,Romance",1995-09-10,118,0,0
85,86,White Squall ,"Adventure,Drama",1996-02-02,129,10300000,38000000
86,87,Dunston Checks In ,"Children's,Comedy",1996-01-12,88,0,0
87,88,Black Sheep ,Comedy,1996-02-01,87,32,0
88,89,Nick of Time ,"Action,Thriller",1995-11-22,90,8175346,8169363
89,90,Journey of August King,,1995-09-14,91,0,0
90,92,Mary Reilly ,"Drama,Thriller",1996-02-23,104,12379402,47000000
91,93,Vampire in Brooklyn ,"Comedy,Romance",1995-10-27,100,19800000,14000000
92,94,Beautiful Girls ,Drama,1996-02-09,112,0,0
93,95,Broken Arrow ,"Action,Thriller",1996-02-09,108,150270147,50000000
94,96,In the Bleak Midwinter ,Comedy,1995-12-01,99,0,0
95,97,Hate ,,1995-05-31,98,0,3000000
96,98,Shopping ,"Action,Thriller",1994-12-06,105,0,0
97,99,Heidi Fleiss: Hollywood Madam ,Documentary,1995-12-27,106,0,0
